Concordant	Discordant	Missing	Filtered	TP	FP	TN	FN	svtype	program	sample	technology	coverage	experiment
6804	1904	71	681	9769	1466	5619	562	DEL	kanpig	HG00733	r10	8x	ts
10613	5021	141	0	14739	3680	11369	1480	INS	kanpig	HG00733	r10	8x	ts
17417	6925	212	681	24508	5146	16988	2042	TOT	kanpig	HG00733	r10	8x	ts
7442	1261	76	680	10792	449	5322	843	DEL	svjedi	HG00733	r10	8x	ts
10035	5214	526	0	17320	734	7947	4497	INS	svjedi	HG00733	r10	8x	ts
17477	6475	602	680	28112	1183	13269	5340	TOT	svjedi	HG00733	r10	8x	ts
6379	2344	56	680	9960	1296	5049	1141	DEL	sniffles	HG00733	r10	8x	ts
8591	7066	118	0	16128	2322	8014	4850	INS	sniffles	HG00733	r10	8x	ts
14970	9410	174	680	26088	3618	13063	5991	TOT	sniffles	HG00733	r10	8x	ts
5552	3227	0	680	8583	2741	5399	835	DEL	cutesv	HG00733	r10	8x	ts
7189	8481	105	105	13555	4936	8858	3991	INS	cutesv	HG00733	r10	8x	ts
12741	11708	105	785	22138	7677	14257	4826	TOT	cutesv	HG00733	r10	8x	ts
6065	1865	0	0	9091	735	4781	1253	DEL	kanpig	HG00733	r10	8x	ds
7291	5938	0	0	13115	3446	7251	2646	INS	kanpig	HG00733	r10	8x	ds
13356	7803	0	0	22206	4181	12032	3899	TOT	kanpig	HG00733	r10	8x	ds
6209	1681	0	0	9545	1021	4461	753	DEL	svjedi	HG00733	r10	8x	ds
7013	6054	0	0	14245	4817	5723	1349	INS	svjedi	HG00733	r10	8x	ds
13222	7735	0	0	23790	5838	10184	2102	TOT	svjedi	HG00733	r10	8x	ds
5793	2092	0	0	9079	982	4494	1215	DEL	sniffles	HG00733	r10	8x	ds
6728	6603	0	0	13386	4254	6524	2498	INS	sniffles	HG00733	r10	8x	ds
12521	8695	0	0	22465	5236	11018	3713	TOT	sniffles	HG00733	r10	8x	ds
5261	2775	0	0	8305	883	4721	2163	DEL	cutesv	HG00733	r10	8x	ds
