Concordant	Discordant	Missing	Filtered	TP	FP	TN	FN	num_neigh	program	sample	technology	coverage	experiment
450	668	0	0	709	215	797	515	2	kanpig	HG002	r9	32x	ds
147	330	0	0	252	97	367	238	3	kanpig	HG002	r9	32x	ds
60	166	0	0	94	31	188	139	4	kanpig	HG002	r9	32x	ds
22	91	0	0	33	10	99	84	5	kanpig	HG002	r9	32x	ds
4	43	0	0	8	4	43	39	6	kanpig	HG002	r9	32x	ds
1	35	0	0	1	0	36	35	7	kanpig	HG002	r9	32x	ds
2	20	0	0	2	0	22	20	8	kanpig	HG002	r9	32x	ds
0	12	0	0	0	0	12	12	9	kanpig	HG002	r9	32x	ds
2	35	0	0	2	0	37	35	10	kanpig	HG002	r9	32x	ds
11382	1076	0	0	15807	197	7907	1005	0	svjedi	HG002	r9	32x	ds
1599	5147	0	0	6483	4662	1818	529	1	svjedi	HG002	r9	32x	ds
475	554	0	0	918	394	565	181	2	svjedi	HG002	r9	32x	ds
161	228	0	0	327	155	222	74	3	svjedi	HG002	r9	32x	ds
69	69	0	0	120	47	87	22	4	svjedi	HG002	r9	32x	ds
24	41	0	0	40	15	49	26	5	svjedi	HG002	r9	32x	ds
5	8	0	0	12	7	6	1	6	svjedi	HG002	r9	32x	ds
3	5	0	0	3	0	8	5	7	svjedi	HG002	r9	32x	ds
2	7	0	0	2	0	9	7	8	svjedi	HG002	r9	32x	ds
0	0	0	0	0	0	0	0	9	svjedi	HG002	r9	32x	ds
2	0	0	0	2	0	2	0	10	svjedi	HG002	r9	32x	ds
11207	1271	0	0	15648	216	7900	1192	0	sniffles	HG002	r9	32x	ds
1764	5045	0	0	6352	4376	2139	751	1	sniffles	HG002	r9	32x	ds
424	679	0	0	881	407	603	315	2	sniffles	HG002	r9	32x	ds
123	377	0	0	322	189	291	198	3	sniffles	HG002	r9	32x	ds
50	200	0	0	118	63	180	139	4	sniffles	HG002	r9	32x	ds
16	111	0	0	33	16	106	99	5	sniffles	HG002	r9	32x	ds
1	65	0	0	6	5	61	60	6	sniffles	HG002	r9	32x	ds
0	62	0	0	4	4	58	58	7	sniffles	HG002	r9	32x	ds
